Unnamed: 0,logpred
14282777,4.9223146
17029381,5.6937885
7824740,5.0932145
19811650,6.1448507
12410741,4.5020404
19589738,4.5545983
15470255,4.783597
6128434,4.957116
18358465,4.6220765
8760362,3.6120205
11755946,4.536489
8327302,5.586597
13884363,4.3684163
6103273,5.548279
18724232,4.5428553
19086978,4.127256
6834210,4.3370767
9013556,4.6961727
11759260,5.202701
8382187,5.167948
1840445,4.2295113
15202859,3.8328123
18361399,5.1417756
17881079,4.1907005
16227150,5.7821126
9770459,5.1553125
4341518,4.636738
10516580,4.9776406
16416474,4.613686
5085892,4.7824883
13697587,4.2970066
12158766,4.2531843
5386312,5.318919
17692345,4.3026953
16026765,4.8359637
18505615,3.9894595
2262885,4.782238
16674812,4.383027
1628130,5.093053
15379798,4.7728906
20173503,5.9352136
21173342,4.3921127
10019796,4.294494
13116069,5.273804
16245464,4.792476
2298801,5.327122
884803,4.8814144
16480090,4.695527
9855805,4.1452227
11407704,4.0274
15572980,4.024958
8457785,5.4876
4115403,5.3171053
10138784,4.912941
16592678,4.4859214
7194843,4.974354
20754111,5.122219
19808904,5.206536
16240085,4.317246
16390897,5.3480296
15217021,5.3752284
2899177,4.404677
823880,6.341435
17960485,4.900992
37197,5.4943976
17843177,4.6166725
20872950,5.614884
12028495,4.8790293
14824136,5.263995
5084563,4.525688
9168809,4.539308
16490010,5.245149
752084,4.611471
1391683,3.9195662
13862932,4.663269
18969917,4.9929643
2536255,4.348595
7401453,3.8959656
8048838,4.5691695
17094930,5.446636
1213652,5.2580614
18650533,4.9651647
18428776,4.408908
3497750,4.6140814
12784763,4.796481
10166945,5.054983
17024368,4.9464006
10550345,4.398411
12135309,5.5317526
17845579,3.725911
17887871,4.0757074
20310828,4.508737
16367772,5.1384473
14007277,5.197366
10187948,4.987304
1979502,5.512496
4025466,4.514184
7010681,4.508083
2210088,4.718734
16487475,4.902378
7132520,4.4633055
6329731,4.462035
16633430,4.7739067
1586489,4.218361
14556587,5.830131
20332537,5.775073
19504228,4.647556
7124926,4.4153523
724656,5.587454
17857598,5.5800643
7198878,3.9183395
1954429,4.657209
17552926,4.653842
18947464,5.078756
555596,4.0437155
8687518,3.9467204
2754975,3.9962478
15591048,4.7829604
68403,4.8397837
16123133,4.060468
16545677,5.3394566
9909328,5.6175656
9372609,5.524431
15507297,4.2601194
3104839,5.892017
5628808,5.2264433
10043483,4.2440825
13882820,4.793725
5804060,4.8847513
13880330,4.5488963
16515346,5.0871468
9734018,4.1183596
13343870,3.3358524
10102418,4.396742
20903084,5.042012
17642625,5.8016067
12547180,4.0599246
15509545,4.0943894
253466,3.6200888
13223336,4.030841
17152842,5.3104053
8411226,4.8744693
16234017,5.2198915
2627940,5.406378
13669161,4.9087815
20933293,4.794612
7930895,4.138413
16812656,4.032155
13031184,4.7443194
476919,5.513743
20729133,3.9028435
15755492,4.4354596
16707888,4.1559744
3466620,6.077479
17498442,5.812206
12364198,4.730528
15942888,4.909382
20969932,4.6353517
11363122,4.2839456
